filename                           ,chroma_stft        ,rmse                ,spectral_centroid ,spectral_bandwidth,rolloff           ,zero_crossing_rate  ,mfcc1              ,mfcc2              ,mfcc3               ,mfcc4               ,mfcc5               ,mfcc6               ,mfcc7                ,mfcc8               ,mfcc9               ,mfcc10              ,mfcc11              ,mfcc12              ,mfcc13              ,mfcc14               ,mfcc15               ,mfcc16              ,mfcc17             ,mfcc18              ,mfcc19              ,mfcc20
01BallsToTheWallwav                ,0.44546201825141907,0.08148956298828125 ,2309.396277457712 ,2212.5233849363617,4632.713653281008 ,0.1158760944756192  ,-143.54554748535156,87.31089782714844  ,-26.01590919494629  ,36.02976989746094   ,-0.6043123006820679 ,-0.4632145166397095 ,2.286888837814331    ,4.100194931030273   ,-0.22419960796833038,3.1958982944488525  ,-5.880796432495117  ,0.9908180832862854  ,-5.28804874420166   ,-7.431613445281982   ,-11.204318046569824  ,-3.9042141437530518 ,-4.673404693603516 ,-6.115628719329834  ,0.04689318686723709 ,2.489462375640869
02LondonLeatherboyswav             ,0.4551902711391449 ,0.12144029885530472 ,2628.1551014470892,2639.4679286007904,5514.658320282266 ,0.11673134251644737 ,-122.23381805419922,81.36204528808594  ,2.642284870147705   ,31.033710479736328  ,18.684364318847656  ,14.60362434387207   ,5.7720232009887695   ,4.174800872802734   ,0.32535475492477417 ,6.438794136047363   ,-1.715727686882019  ,3.2662107944488525  ,-2.5480332374572754 ,-1.6864025592803955  ,-8.542154312133789   ,-1.622002124786377  ,-6.3456501960754395,0.4370362460613251  ,-2.3939998149871826 ,2.0010344982147217
03FightItBackwav                   ,0.4686127007007599 ,0.10829618573188782 ,2351.943150758147 ,2251.699955960509 ,4737.371353763545 ,0.11933714686532508 ,-93.89547729492188 ,89.82469940185547  ,-31.846813201904297 ,33.57622528076172   ,1.3897111415863037  ,13.93085765838623   ,-1.2237181663513184  ,4.246677875518799   ,-0.4006396234035492 ,2.9950156211853027  ,-3.9694483280181885 ,5.298487663269043   ,-8.981292724609375  ,-7.452706813812256   ,-9.449833869934082   ,-0.6317840814590454 ,-6.970500469207764 ,-1.9593740701675415 ,-0.7774723768234253 ,2.349435806274414
04HeadOverHeelswav                 ,0.3647075593471527 ,0.08457841724157333 ,1630.1115769814016,1765.1328103475116,3205.2056185601296,0.08575722898123066 ,-245.7893829345703 ,119.5619888305664  ,-4.851956367492676  ,29.75089454650879   ,4.361553192138672   ,8.94284439086914    ,0.26764991879463196  ,5.656059741973877   ,3.3943512439727783  ,4.3650898933410645  ,1.494971513748169   ,3.6335017681121826  ,-2.816228151321411  ,-5.480893611907959   ,-6.2250566482543945  ,-0.8233521580696106 ,2.158750057220459  ,-4.7512593269348145 ,1.521067500114441   ,4.149216175079346
05LosingMoreThanYouveEverHadwav    ,0.42743271589279175,0.10836608707904816 ,2157.369033087714 ,2186.3714095283995,4521.255993916892 ,0.09374319732004643 ,-127.35025787353516,99.18030548095703  ,-22.640161514282227 ,38.5697021484375    ,-3.010838508605957  ,8.522943496704102   ,-2.8629372119903564  ,4.8313164710998535  ,-0.6535590887069702 ,3.738568067550659   ,-6.818221092224121  ,2.4953651428222656  ,-5.6020283699035645 ,-7.500810146331787   ,-10.247422218322754  ,-4.170015811920166  ,-2.656222105026245 ,-3.191462516784668  ,0.9923468828201294  ,1.1769038438796997
06LoveChildwav                     ,0.3985338807106018 ,0.10860976576805115 ,2283.654220488309 ,2344.695240527393 ,4827.037478231424 ,0.09708898207720588 ,-111.3336181640625 ,94.6069107055664   ,-14.339262962341309 ,35.72014236450195   ,1.9219731092453003  ,1.9970529079437256  ,-0.017719421535730362,4.502767562866211   ,1.723616600036621   ,4.871462821960449   ,-8.473444938659668  ,2.098940372467041   ,-6.718517303466797  ,-9.968241691589355   ,-11.703864097595215  ,-0.9904544949531555 ,-4.345889091491699 ,-1.212128758430481  ,2.3100802898406982  ,0.476740300655365
07TurnMeOnwav                      ,0.47696319222450256,0.08760790526866913 ,2061.428051955465 ,2002.0738629142763,4074.350362960768 ,0.10163543984616873 ,-137.86529541015625,108.50775146484375 ,-41.261234283447266 ,41.502967834472656  ,3.1411538124084473  ,-1.071128010749817  ,3.1540632247924805   ,1.916237473487854   ,-0.8870789408683777 ,5.000513076782227   ,-6.178680896759033  ,6.415942192077637   ,-1.9426859617233276 ,-7.485308647155762   ,-11.076647758483887  ,-7.8339691162109375 ,-2.124941349029541 ,-7.13335657119751   ,2.8785433769226074  ,3.1644415855407715
08LosersAndWinnerswav              ,0.4744682013988495 ,0.1252688467502594  ,2484.958522039575 ,2506.242576243791 ,5352.8426320929275,0.10565695747871517 ,-87.47281646728516 ,83.35765075683594  ,-8.93000316619873   ,41.75065612792969   ,6.352803707122803   ,8.63257122039795    ,0.12743596732616425  ,9.160698890686035   ,-1.459591031074524  ,5.613677501678467   ,-7.313262462615967  ,0.42987897992134094 ,-6.771069526672363  ,-6.315715789794922   ,-10.936676025390625  ,-1.6432474851608276 ,-2.375309944152832 ,-1.0157548189163208 ,-0.04307029768824577,3.023848295211792
09GuardianOfTheNightwav            ,0.36724889278411865,0.08061732351779938 ,2477.0910232025617,2561.6483531573836,5438.300448674536 ,0.10853260146575078 ,-204.63768005371094,72.7872314453125   ,-1.240980863571167  ,26.477922439575195  ,-0.7164427638053894 ,7.612171649932861   ,-7.267890453338623   ,-2.6920275688171387 ,-8.465869903564453  ,0.7327060699462891  ,-5.189547061920166  ,-0.4370039701461792 ,-4.0149407386779785 ,-4.166016101837158   ,-10.4500732421875    ,0.7996293306350708  ,1.4519928693771362 ,2.2022652626037598  ,-1.1483958959579468 ,-0.048067547380924225
10WinterDreamswav                  ,0.42161768674850464,0.06514302641153336 ,1698.1895563321666,2407.146583547247 ,3909.4346935165927,0.04548082853618421 ,-285.0625915527344 ,94.9143295288086   ,34.54400634765625   ,43.932247161865234  ,11.856847763061523  ,14.930746078491211  ,4.728291034698486    ,1.9445985555648804  ,-4.559542179107666  ,8.53046989440918    ,4.538450241088867   ,9.498651504516602   ,3.838120460510254   ,1.9464783668518066   ,0.884554386138916    ,2.2920472621917725  ,0.26294299960136414,8.449071884155273   ,-3.0235788822174072 ,-2.4339945316314697
